id,passage
18134-0,"[Ahorn und Phönixfeder-Zauberstab] Dieser Zauberstab wurde hergestellt aus Ahornholz mit einem Kern aus Phönixfeder und ist sieben Zoll lang. Es war der zweite Zauberstab, der von Harry Potter benutzt wurde in Ollivanders Zauberstabladen, Winkelgasse, London im Jahr 1991. Harry war kaum in der Lage, den Zauberstab zu heben, bevor Ollivander ihn als unpassend für ihn bezeichnete."
18140-0,"[Zauberstabkern] Der Kern eines Zauberstabs ist eine magische Substanz, der Länge nach in das Holz eingebettet. Sie sind normalerweise Teile von Haaren/Federn, entwendet von einer Art von magischem Wesen oder magischer Kreatur. Die Materialien, benutzt für Zauberstabkerne, können stark variieren, obwohl bestimmte Zauberstabmacher den Gebrauch von bestimmten Materialien bevorzugen; zum Beispiel entdeckte und machte Garrick Ollivander als erster Gebrauch von Phönixfedern, Drachenherzfasern und Einhornschwanzhaaren, wohingegen sein Vater schwächere Substanzen benutzte wie Kelpie-Haar und Schnurrhaare eines Kniesels."
18140-1,"[Zauberstabkern] Der Zauberstab wählt immer den Zauberer oder die Hexe und nicht anders herum. Dies ist eine Frage, die viele, die Zauberstäbe - sprich Zauberstabkunde - studieren, nicht verstehen oder erklären können. Es scheint, dass Zauberstäbe in gewissem Wortsinn eigene Wahrnehmungskräfte und Vorstellungen haben. Der Zauberstab wird niemals leicht auf eine andere Person überwechseln - etwas, das viele Zauberstabkundige bis zu einem gewissen Grad verstehen."
18140-2,"[Zauberstabkern] [Anmerkungen] Der Kern-Typ ist dafür bekannt, die ""Persönlichkeit"" des damit hergestellten Zauberstabs zu beeinflussen. Zum Beispiel wird der Zauberstabmacher Garrick Ollivander kein Veela-Haar als Kern verwenden, weil er glaubt, dass sie für ""eigenwillige"" Zauberstäbe sorgen. Thestralhaar-Zauberstäbe haben auch einen interessanten Kern, da man seine ""Gefolgschaft"" nicht einfach dadurch erlangt, dass man sie beim Kampf gewinnt; Thestralschwanzhaar ist eine mächtige und trügerische Substanz, die nur von einer Hexe oder einem Zauberer bewältigt werden kann, die/der in der Lage ist, dem Tod ins Auge zu sehen (dies war somit teilweise der Grund, warum Voldemort solche Probleme mit ihm hatte)."
18140-3,"[Zauberstabkern] [Anmerkungen] Ein weiteres interessantes Merkmal der Zauberstäbe und ihrer Kerne ist, dass, wenn zwei Zauberstäbe Kerne aus derselben Quelle haben - wie die Zauberstäbe von Harry Potter und Lord Voldemort, die beide Kerne hatten, bestehend aus einer Feder von Fawkes, Albus Dumbledores Phönix - sollen sie ""Brüder"" sein. Dies kann ""Priori Incantatem"" hervorrufen, wenn die Zauberstäbe in Konflikt miteinander geraten, wie beim Abfeuern verschiedener Zaubersprüche gegeneinander in etwa zur gleichen Zeit."
18140-4,"[Zauberstabkern] [Anmerkungen] Vor Ollivanders Praxis der Verwendung nur der drei ""edlen Kerne"" war es üblich, dass Hexen und Zauberer einem Zauberstabmacher eine magische Substanz mitbringen für die Verwendung als Zauberstabkern, zu der sie eine besondere Verbundenheit hatten. Solche Substanzen können Veela-Haar, Kniesel-Schnurrhaare, Diptam-Stiele oder Kelpie-Mähnen gewesen sein."
18140-5,"[Zauberstabkern] [Preis] Alle Zauberstäbe kosten sieben Galleonen, ungeachtet von Kern oder Holz. . Einhornschwanzhaar jedoch ist zehn Galleonen pro Haar wert, wie bestätigt von Horace Slughorn im Jahr 1996. Der Grund für den Rabatt, wenn das Haar in einem Zauberstab benutzt wird, ist unbekannt, aber das Haar könnte leicht gekürzt werden, um in den Zauberstab zu passen, was seinen Wert vermindert."
18141-0,"[Drachenherzfaser] Drachenherzfaser ist ein Material von einem Drachen, das als Kern eines Zauberstabs benutzt werden kann. Es ist unbekannt, von welchen Drachenarten die Herzfasern gesammelt werden und welchen Effekt dieser Unterschied auf die Fähigkeiten des Zauberstabs hat, wenn überhaupt. Aufgrund der Tatsache, dass das Herz ein lebenswichtiges Organ bei jeder Kreatur ist, kann unterstellt werden, dass das Material entnommen wurde, nachdem der Drachen entweder an natürlichen Ursachen verstorben ist oder getötet wurde. Es ist ebenfalls unbekannt, welche Anzahl an Fasern von dem Herz jedes Tieres gesammelt werden kann."
18141-1,"[Drachenherzfaser] [Zauberstabkunde] In der Regel erzeugen Drachenherzfasern Zauberstäbe mit der meisten Macht, fähig zu extravaganten Zaubersprüchen. Drachenzauberstäbe lernen in der Regel schneller als andere Arten. Zwar können sie ihre Treue wechseln, wenn sie ihrem originalen Meister entwendet werden, aber sie binden sich immer stark an den augenblicklichen Besitzer."
18141-2,"[Drachenherzfaser] [Zauberstabkunde] Der Drachenzauberstab lässt sich am leichtesten den Dunklen Künsten zuwenden, allerdings wird er nicht diesen Weg von selbst beschreiten. Er neigt auch am ehesten von den drei Kernen zu Unfällen, da er etwas temperamentvoll ist. In Kombination mit bestimmten Hölzern ist er von tödlicher Gefährlichkeit."
18141-3,"[Drachenherzfaser] [Anwendung von Zauberstabmachern] Der Zauberstabmacher Garrick Ollivander ist bekannt dafür, Drachenherzfasern zu benutzen als einer von seinen drei Kernen; die anderen beiden sind Einhornhaare und Phönixfedern. Mykew Gregorowitsch benutzt ebenfalls Drachenherzfaser in seinen Zauberstäben, so wie von dem einen, den er für Viktor Krum hergestellt hat. [Bekannte Zauberstäbe] Die folgenden Zauberstäbe besitzen einen Drachenherzfaser-Kern:"
18142-0,"[Phönixfeder] Phönixfedern sind Federn, abgestoßen von Phönixen, in erster Linie gesammelt und benutzt in der Zauberstabherstellung."
18142-1,"[Phönixfeder] [Zauberstabkunde] Dies ist eine der seltenste Kerntypen. Phönixfedern beherrschen die breiteste Spanne der Magie, auch wenn es länger als bei Einhorn oder Drachenherzfasern dauern kann, bis sie dies offenbaren. Sie zeigen am meisten Initiative und handeln manchmal von sich aus, eine Eigenart, die viele Hexen und Zauberer nicht mögen."
18142-2,"[Phönixfeder] [Zauberstabkunde] Phönixfeder-Zauberstäbe sind immer die wählerischsten, wenn es um ihre möglichen Besitzer geht, denn sie stammen von einem der unabhängigsten und entrücktesten Geschöpfe der Welt. Diese Zauberstäbe sind am schwersten zu zähmen und dem jeweiligen Besitzer anzupassen, und ihre Treue ist meist schwer errungen."
18142-3,"[Phönixfeder] [Bekannte Benutzer] In Ollivanders Zauberstabladen ist der Besitzer, Garrick Ollivander, bekannt, Phönixfedern als einen seiner drei Kerne zu benutzen; die anderen sind Drachenherzfaser und Einhornhaar."
18142-4,"[Phönixfeder] [Bekannte Zauberstäbe] Harry Potters und Tom Riddles Zauberstabkerne stammen von demselben Phönix: Fawkes, der zu Albus Dumbledore gehörte; diese beiden Zauberstäbe sind ""Brüder"". Von daher haben sie eine gewisse Verbindung und können ungewöhnliche magische Effekte produzieren, wenn sie gezwungen werden, gegeneinander zu kämpfen, ein Phänomen, bekannt als Priori Incantatem. Riddle, besser bekannt als Voldemort, entführte Ollivander, den Zauberstabmacher, um Informationen zu erhalten über seine Situation und wie er sie überwältigen konnte. Ollivander erzählte ihm, dass ein anderer Zauberstab gegen Harry wirken könnte, aber Harrys Zauberstab zerstörte den ""geliehenen"" Zauberstab, als Lord Voldemort ihn jagte, als Harry fortgebracht wurde."
18142-5,"[Phönixfeder] [Bekannte Zauberstäbe] Bevor Harry seinen Stechpalme und Phönixfeder-Zauberstab im Jahr 1991 erhielt, hatte Ollivander Harry einen anderen Zauberstab mit Phönixfeder gezeigt, hergestellt aus Ahorn, zum Ausprobieren im Jahr 1991."
18142-6,"[Phönixfeder] [Bekannte Spender] Der einzige bekannte Phönix, der seine Federn gespendet hat, für die Herstellung eines Zauberstabs war Fawkes, Albus Dumbledores magischer Vogel. Er gab nur zwei Federn, eine für Harry Potters Zauberstab und eine für Tom Riddles Zauberstab."
18142-7,"[Phönixfeder] [Bekannte Spender] Es gab mindestens einen weiteren Phönix, der seine Feder Ollivander spendierte, wie zu sehen ist bei dem Ahornzauberstab, den Ollivander Harry im Jahr 1991 zeigte. Wer dieser Phönix war und wie seine Feder erlangt wurde, ist unbekannt."
18142-8,"[Phönixfeder] [Andere Anwendungen] Im Schuljahr 1992-1993 stand eine Feder in einem Tintenfass auf Albus Dumbledores Pult, was darauf hindeutet, dass er sie zum Schreiben benutzte."
18142-9,[Phönixfeder] [Andere Anwendungen] Im Schuljahr 1995-1996 schickte Fawkes seine Federn zurück und ließ sie in Flammen aufgehen als Botschaft und Warnungen für die Mitglieder des Ordens des Phönix.
18145-0,"[Veela-Haar] Veela-Haar ist ein Material vom Kopf einer Veela, das benutzt werden kann, um als Kern in einem Zauberstab zu dienen."
18148-0,"[Thestralschwanzhaar] Ein Thestralschwanzhaar ist ein Haar, das aus dem Schwanz eines Thestrals gezupft wurde und wird als Zauberstabkern verwendet. Es wird als instabil, wenn nicht sogar schwierige Substanz angesehen, um ihn in der Zauberstabherstellung zu verwenden, obwohl Veela-Haar wird auch so beschrieben, ist aber erfolgreich eingesetzt worden."
18148-1,"[Thestralschwanzhaar] [Bekannte Zauberstäbe] Der bekannteste Zauberstab, der ein Thestralschwanzhaar verwendet, ist der Elderstab. Erstellt entweder durch Tod oder Antioch Peverell, war er der stärkste Zauberstab in der gesamten Geschichte der Zauberschaft und nach der Legende machte er den Benutzer unbesiegbar in Zaubererduellen."
18148-2,"[Thestralschwanzhaar] [Bekannte Zauberstäbe] Ob dies ein Beweis für die Macht des Thestralschwanzhaares ist, bleibt unklar, da Elderstab-Benutzer wie Gellert Grindelwald und Emmerich der Böse gezeigt haben, dass sie besiegbar sind im Duell. Dennoch hat der Elderstab zusätzliche Fähigkeiten, die andere Zauberstäbe nicht haben, beispielsweise ist er in der Lage, andere Zauberstäbe erfolgreich zu reparieren, was für unmöglich gehalten wurde von Menschen, die Zauberstabkunde studiert haben."
18148-3,"[Thestralschwanzhaar] [Bekannte Zauberstäbe] Es wird angenommen, dass man in der Lage sein muss, Thestrale zu sehen, um ihre Haare nutzen zu können, und da man Zeuge des Todes aus erster Hand sein muss, um einen Thestral sehen zu können, muss jeder, der einen Zauberstab mit den Haaren herstellen will, Zeuge des Todes geworden sein, anknüpfend an die Geschichte, ""Meister des Todes"" zu sein. Es ist unbekannt, ob das Schwanzhaar unsichtbar wäre bei einem Zauberstabmacher, der den Tod nicht gesehen hat, so wie ein Thestral es wäre, oder ob es gesehen werden kann, sobald es erst mal von dem Thestral getrennt ist."
18149-0,"[Barthaar eines Trolls] Barthaare eines Trolls sind die Gesichtshaare von Trollen. Als magische Substanz können sie als Zauberstabkerne verwendet werden, obwohl in der heutigen Zeit werden sie als minderwertige Substanz angesehen im Gegensatz zu Garrick Ollivanders drei Edlen Kernen. Über den Zauberstab von Sir Cadogan wurde gemunkelt, er solle einen Trollbarthaaar-Kern enthalten."
18151-0,"[Koralle] Eine Koralle ist ein Meerestier mit magischen Eigenschaften. Es kann als Zauberstabkern benutzt werden. Gregorowitsch Zauberstäbe, ein Zauberstabladen, betrieben von Mykew Gregorowitsch, verkauft Zauberstäbe mit Korallenkernen."
18152-0,"[Kelpie-Haar] Das Haar eines Kelpies kann benutzt werden als Kern eines Zauberstabs, aber es ist bekannt als minderwertiges Kernmaterial. [Zauberstabkunde] Kelpie-Haar ist bekannt als minderwertige Substanz."
18153-0,"[Edle Kerne] Edle Kerne ist der Titel, den Garrick Ollivander, Besitzer von Ollivanders Zauberstabladen, den drei Arten von Zauberstabkernen gab, die er für die besten hielt. Dies sind die einzigen Kerne, die er in seinen Zauberstäben benutzt, allerdings können andere Zauberstabmacher weiterhin andere Kerne verwenden."
18153-1,"[Edle Kerne] [Einhornhaar] Einhornhaar produziert generell die beständigste Magie und unterliegt am wenigstens Schwankungen und Blockaden. Zauberstäbe mit Einhornhaar lassen sich meist am schwersten den Dunklen Künsten zuwenden. Sie sind die treuesten aller Zauberstäbe und bleiben ihren ersten Besitzern normalerweise stark verbunden unabhängig davon, ob sie vollendete Hexen oder Zauberer sind."
18153-2,"[Edle Kerne] [Einhornhaar] Leichte Nachteile von Einhornhaaren bestehen darin, dass sie nicht die mächtigsten Zauberstäbe ergeben (das Zauberstabholz kann hier jedoch verstärkend wirken) und dass sie zur Trübsal neigen, wenn sie ernsthaft missbraucht werden, will heißen, das Haar kann ""sterben"" und muss ersetzt werden."
18153-3,"[Edle Kerne] [Drachenherzfaser] In der Regel ergeben Drachenherzfasern die mächtigsten Stäbe, die zu den spektakulärsten Zaubern fähig sind. Drachenstäbe lernen meist schneller als andere Arten. Während sie die Gefolgschaft wechseln können, wenn sie dem ursprünglichen Meister abgerungen werden, binden sie sich immer stark an ihren gegenwärtigen Besitzer."
18153-4,"[Edle Kerne] [Drachenherzfaser] Der Drachenstab lässt sich wohl am leichtesten den Dunklen Künsten zukehren, auch wenn er von sich aus diesen Weg nicht gehen wird. Im Vergleich zu den anderen zwei Kernarten sind Zauberstäbe mit einem Kern aus Drachenherzfaser am unfallträchtigsten, weil sie so temperamentvoll sind."
18153-5,"[Edle Kerne] [Phönixfeder] Dies ist der seltenste Kerntyp. Phönixfedern beherrschen die breiteste Spanne der Magie, auch wenn es länger als bei Einhorn- oder Drachenkernen dauern kann, bis sie dies offenbaren. Sie zeigen am meisten Initiative und handeln manchmal von sich aus, eine Eigenart, die viele Hexen und Zauberer nicht mögen."
18153-6,"[Edle Kerne] [Phönixfeder] Zauberstäbe mit Phönixfedern sind immer die wählerischsten, wenn es um ihre möglichen Besitzer geht, denn sie stammen von einem der unabhängigsten und entrücktesten Geschöpfe der Welt. Diese Zauberstäbe sind am schwersten zu zähmen und dem jeweiligen Besitzer anzupassen. Zudem ist ihre Treue meist schwer zu erringen."
18154-0,"[Verzauberte Feder Co.] Die Verzauberte Feder Co. war eine Firma, die wahrscheinlich verzauberte Federn an Zauberstabmacher verkaufte für deren Gebrauch als Zauberstabkerne. Es gibt einige Schachteln von dieser Firma im Abstellraum in Ollivanders Zauberstabladen."
18156-0,"[Zauberstabholz] Mehrere unterschiedliche Arten von Holz werden benutzt bei der Herstellung von Zauberstäben. Es wird ein Kern einer magischen Substanz in sie gebettet. Zauberstäbe unterscheiden sich sowohl nach der Länge, von mindestens 7"" bis 18"" als auch nach der Flexibilität, von ""federnd bis ""unflexibel"""
18156-1,"[Zauberstabholz] [Autorenkommentare] J. K. Rowling hat ihre Wahl der Zauberstabhölzer für Harry Potter und Lord Voldemort erklärt: Rowling hat auch enthüllt, dass sie danach entdeckte, dass Harrys Zauberstabholz seinem Geburtsdatum (31. Juli) im keltischen Baumkalender entsprach, und beschloss, den Kalender zu benutzen, um die Zauberstabhölzer von Ron Weasley und Hermine Granger zuzuordnen als ""versteckte Verbindung"" zwischen den dreien. ."
18159-0,"[Zauberstabmacher] Ein Zauberstabhersteller ist eine Person, die Zauberstäbe herstellt, an Hexen und Zauberer verkauft und daher einen wichtigen Beruf in der Zaubergesellschaft darstellt. Die Praxis der Herstellung eines Zauberstabs ist bekannt als Zauberstabhandwerk. Zauberstabläden datieren zurück bis mindestens zur Gründung von Ollivanders Zauberstabladen in der Ära 382 v. Chr. und einige der ersten Zauberstabhersteller waren die Druiden. Obwohl es allgemeine Praxis in älteren Zeiten für den Käufer eines Zauberstabs war, seinen eigenen Kern mitzubringen, in der Regel von einer traditionellen oder einer bevorzugten Substanz, beschaffen sich einige moderne Zauberstabhersteller wie Garrick Ollivander ihre eigenen Kerne und behaupten, damit mehr Erfolg zu haben."
18159-1,"[Zauberstabmacher] [Garrik Ollivander:Winkelgasse in seinem Laden,Londo] Mykew Gregorowitch:Laut Viktor Krum in der Nähe der Zauberschule Durmstrag weshalb davon auszugehen ist das er in Norddeutschland sein Geschäft und damit auch seinen Wohnort hat.Bestätigt wurde dies jedoch nie."
18159-2,"[Zauberstabmacher] [Garrik Ollivander:Winkelgasse in seinem Laden,Londo] Ein verwandter Beruf ist der Zauberstabhüter , allerdings ist nicht klar, ob dies nur ein anderer Begriff für Zauberstabhersteller oder ein separater Beruf ist. Unabhängig davon, ein solches Beispiel hierfür war ein Mitarbeiter von Garrick Ollivander, der in der Hogsmeade-Filiale des Ladens arbeitet."
18160-0,"[Arturo Cephalopos] Arturo Cephalopos war ein Zauberstabmacher im 19. Jahrhundert. Während dieser Periode war Silberlinde in Mode als Zauberstabholz und er behauptete, dass der angebliche Zusammenhang von Silberlinde und Hellseherei eine ""falsche Behauptung sei, verbreitet von Händlern wie Gerbold Ollivander, die in ihren Werkstätten zu große Bestände an Silberlinde angelegt haben und hoffen, ihre Überschüsse loszuwerden."" Aber gemäß Gerbolds Enkelsohn Garrick Ollivander war Cephalopos ein ""schludriger Zauberstabmacher"" und ""ein Ignorant"", und der, zu niemandes Überraschung, pleite ging."
18161-0,"[Jimmy Kiddell] Jimmy Kiddell war ein Zauberstabmacher, der das Geschäft Jimmy Kiddells Wunderbare Zauberstäbe in der Winkelgasse besaß. Er ist wahrscheinlich ein minderwertiger Zauberstabmacher als Mr. Ollivander, da die meisten Zauberkinder ihre Zauberstäbe bei Ollivanders erhalten. Es ist möglich, dass sein Zauberstabladen einen großen Erfolg hatte, als Garrick Ollivander von den Todessern entführt wurde."
18162-0,"[Jimmy Kiddells Wunderbare Zauberstäbe] Jimmy Kiddells Wunderbare Zauberstäbe war ein Zauberstabgeschäft in der Winkelgasse. Es war nicht so populär wie sein Konkurrent, Ollivanders, das einen Ruf als eines der besten Zauberstabgeschäfte in ganz Europa hatte."
18163-0,"[Sirius Blacks Zauberstab] Der Zauberstab von Sirius Black war aus unbekanntem Holz, einem unbekannten Kernmaterial und von unbekannter Länge."
18163-1,"[Sirius Blacks Zauberstab] [Geschichte] Wie viele Hexen und Zauberer in Großbritannien erwarb er ihn wahrscheinlich im Alter von elf, bevor er an der Hogwartsschule für Hexerei und Zauberei im Jahr 1971 begann. Er war auch fähig, mit diesem Zauberstab kraftvolle Magie auszuführen, sowie die Durchführung von nonverbale Zaubersprüche. Der Zauberstab starb wahrscheinlich mit ihm, da er ihn bei sich trug, als er in der Todeskammer durch den Schleier fiel und dadurch starb. [Geschichte] Anmerkungen und Quellen."
18180-0,"[Zauberstabkunde] Zauberstabkunde ist ein alter, komplexer und geheimnisvoller Zweig der Magie, der sich mit der Geschichte, den Fähigkeiten und Taten der Zauberstäbe, quasi-empfindungsfähigen magischen Werkzeugen, die von Zauberern und Hexen verwendet werden, um Zaubersprüche zu produzieren, befasst. Dieser besondere Zweig der Magie wird sorgfältig von Zauberstabmachern wie Garrick Ollivander und Mykew Gregorowitsch studiert."
18180-1,"[Zauberstabkunde] [Ursprünge] Zauberstabkunde könnte zuerst von alten Zauberern vor mehr als zweitausend Jahren erforscht worden sein. Dies kann von dem abblätternden Schild außerhalb des Mr. Ollivanders Zauberstabladen abgeleitet werden, wo zu lesen ist ""Ollivander - Gute Zauberstäbe seit 382 v. Chr."". Am Anfang der Zauberergeschichte könnte mit den magischen Kräften der Zauberstäbe experimentiert worden sein und sie könnten durch die Jahre hindurch erkundet worden sein, und alle Erkenntnisse wurden aufgeschrieben, wie bei vielen anderen Mysterien der Welt, jedes mit seinen engagierten und brillanten Entdeckern. Und wie bei vielen dieser Dinge wurde sie im Laufe der Zeit besser verstanden."
18180-2,"[Zauberstabkunde] [Studium der Kunde] Nach der magischen Ausbildung muss eine Person, die Zauberstabmacher werden will, Schüler von einem erfahrenen Zauberstabmacher werden. Danach können sie die Zauberstabkunde studieren. Es gibt auch eine Möglichkeit, dass es Einrichtungen gibt, in denen Zauberstabkunde unterrichtet wird. Trotzdem ist klar, dass Zauberstabkunde klar verstanden werden muss, um ein qualifizierter Zauberstabmacher zu werden."
18180-3,"[Zauberstabkunde] [Komplexität] Mr. Ollivander enthüllt Harry Potter im Jahr 1998, dass Zauberstabkunde ""komplex und geheimnisvoll"" sei; selbst die Besten dieses Faches begreifen sie nicht vollständig. Ollivander selbst gestand, dass er nicht voll und ganz ""Priori Incantatem"" versteht, eine Reaktion zwischen zwei Zauberstäben mit Kernen aus derselben Quelle, oder warum Harrys Zauberstab den Zauberstab von Lucius Malfoy zerstörte, als Harry gegen Lord Voldemort kämpfte während der Schlacht der Sieben Potters"
18180-4,"[Zauberstabkunde] [Komplexität] Zauberstäbe wählen den Zauberer oder die Hexe in einer Weise, die weder Zufall noch Glücksfall ist. Es gibt eine Menge antikes Mythologie- und botanisches Wissen über die Kräfte und Natur von Holz und anderen natürlichen Elementen."
18180-5,"[Zauberstabkunde] [Harry Potter und Voldemorts Zauberstäbe] Harry Potters Zauberstab wurde aus Stechpalme hergestellt, mit einem Phönixfederkern In zahlreichen alten und modernen historischen Referenzen ist die eine immergrüne Pflanze, stellt das Leben dar und wurde als Wächter und Schutz gegen Gift, Blitz und Hexerei erachtet. Die Phönixfeder stellt die Erneuerung des Lebens dar. Harry erlebt dies bei mehreren Gelegenheiten, bei denen andere dachten, er müsse tot sein. Sein Zauberstabholz ist auch das gleiche Holz wie das seines Geburtsmonats im keltischen Kalender, der Stechpalme mit Mut und einem Kampf zwischen Königen gleichsetzt."
18180-6,"[Zauberstabkunde] [Harry Potter und Voldemorts Zauberstäbe] Im Gegensatz dazu bestand Voldemorts Zauberstab aus Eibe und Phönixfeder. sind mit einigen der ältesten Legenden von Großbritannien verbunden, denn sie wurden von den Druiden verehrt. Eibe ist giftig und bekannt dafür, Vieh zu töten. Die Phönixfeder kann Voldemorts Besessenheit, sein eigenes Leben zu bewahren, vertreten; er schuf Horkruxe, so dass er jedes Mal, wenn er getötet wird, wiedergeboren werden kann."
